Product Name,Brand,Date,Sales Quantity,Price,Original Price,Discount Percentage,Stock Level,Region,Category,Customer Rating,Review Count,Delivery Days,Seller,Is Weekend,Is Holiday
Джинсы Wrangler Arizona,Wrangler,2025-03-13,16,6130,7055,13,310,Нижний Новгород,Одежда,4.8,572,5,"ООО «Елисеев, Пестов и Марков»",0,0
"Учебник ""Экономика"" Н. Грегори Мэнкью",Питер,2025-03-19,11,1630,,,433,Челябинск,Книги,4.6,297,2,НПО «Богданов-Шарова»,0,0
Микроволновка LG NeoChef MH6336,LG,2025-03-04,26,12125,,,205,Москва,Бытовая техника,4.4,515,5,ООО «Тарасов-Ширяев»,0,0
Ноутбук Lenovo Legion Pro 7,Lenovo,2025-03-06,7,181235,,,298,Нижний Новгород,Электроника,4.9,675,2,АО «Соболева-Никонова»,0,0
Смартфон Apple iPhone 15 Pro,Apple,2025-03-31,28,81175,,,57,Санкт-Петербург,Электроника,4.7,326,2,РАО «Копылов Бобылева»,0,0
Планшет Samsung Galaxy Tab S9 Ultra,Samsung,2025-03-09,41,83845,,,339,Санкт-Петербург,Электроника,4.7,284,2,Колобова Групп,1,0
"Роман ""Мастер и Маргарита"" М. Булгаков",Эксмо,2025-03-26,10,739,,,212,Уфа,Книги,4.8,466,3,Продимекс-Холдинг,0,0
Смартфон Apple iPhone 15 Pro,Apple,2025-03-27,16,97030,,,177,Казань,Электроника,4.5,557,3,"ОАО «Терентьев, Ширяев и Лихачева»",0,0
Микроволновка Panasonic NN-GT261,Panasonic,2025-03-10,6,9090,,,384,Нижний Новгород,Бытовая техника,4.3,576,2,Джонсон & Джонсон (Johnson & Johnson),0,0
Планшет Apple iPad Pro 12.9,Apple,2025-03-12,26,101409,,,26,Москва,Электроника,4.5,335,2,АО «Ситникова-Федотова»,0,0
Холодильник Bosch Serie 6 VitaFresh Plus,Bosch,2025-03-25,10,115590,,,20,Санкт-Петербург,Бытовая техника,4.3,628,5,АО «Калинин»,0,0
Кофемашина Siemens EQ.6 plus,Siemens,2025-03-19,10,69440,,,256,Челябинск,Бытовая техника,4.6,545,2,ЗАО «Моисеева Горбунов»,0,0
Холодильник Bosch Serie 6 VitaFresh Plus,Bosch,2025-03-12,9,92229,,,251,Санкт-Петербург,Бытовая техника,4.6,404,2,Роснефть,0,0
Планшет Apple iPad Pro 12.9,Apple,2025-03-13,16,108730,,,405,Екатеринбург,Электроника,4.8,607,2,"АО «Прохорова, Куликов и Некрасова»",0,0
Футболка Befree оверсайз,Befree,2025-03-21,10,525,889,40,252,Нижний Новгород,Одежда,4.2,274,7,АО «Потапова-Назарова»,0,0
"Комикс ""Бэтмен: Убийственная шутка""",DC,2025-03-07,12,1120,,,343,Ростов-на-Дону,Книги,5.0,602,3,Журавлев и партнеры,0,0
Кроссовки Nike Air Max 270,Nike,2025-03-28,9,11760,,,299,Нижний Новгород,Одежда,4.6,293,3,"ЗАО «Павлов, Петрова и Чернов»",0,0
Пылесос Samsung Jet 90 Complete,Samsung,2025-03-19,19,45109,,,396,Санкт-Петербург,Бытовая техника,4.5,619,1,РАО «Тетерина Уваров»,0,0
Наушники Samsung Galaxy Buds2 Pro,Samsung,2025-03-02,39,19450,,,241,Москва,Электроника,4.6,481,1,РАО «Комиссарова»,1,0
Планшет Huawei MatePad Pro,Huawei,2025-03-27,9,51740,,,144,Санкт-Петербург,Электроника,4.2,303,3,"РАО «Федотова, Игнатова и Тихонов»",0,0
Кроссовки Nike Air Max 270,Nike,2025-03-20,31,9470,14570,35,347,Москва,Одежда,4.6,320,5,Федотов и партнеры,0,0
Кофемашина Philips Series 5400,Philips,2025-03-05,7,51900,,,308,Нижний Новгород,Бытовая техника,4.9,532,3,ИП «Муравьева Большаков»,0,0
Куртка Columbia Watertight II,Columbia,2025-03-26,12,11545,,,144,Новосибирск,Одежда,4.6,361,2,СТД Петрович,0,0
Микроволновка LG NeoChef MH6336,LG,2025-03-24,13,12079,,,265,Санкт-Петербург,Бытовая техника,4.6,512,2,"АО «Смирнова, Беляков и Шубин»",0,0
Куртка Adidas Outdoor Terrex,Adidas,2025-03-25,15,11859,,,69,Москва,Одежда,4.8,530,2,Горбачев Инкорпорэйтед,0,0
Стиральная машина LG AI DD F4V5,LG,2025-03-30,22,36119,46305,22,300,Москва,Бытовая техника,4.5,365,2,ЗАО «Петухов-Жданов»,1,0
Смартфон Samsung Galaxy S23 Ultra,Samsung,2025-03-10,17,82660,,,346,Новосибирск,Электроника,4.4,526,3,ЗАО «Кузнецов Мясников»,0,0
Планшет Xiaomi Pad 6 Pro,Xiaomi,2025-03-09,29,38549,,,383,Екатеринбург,Электроника,4.5,239,2,Сергеев Инкорпорэйтед,1,0
Джинсы Levi's 501 Original,Levi's,2025-03-22,15,9690,,,216,Новосибирск,Одежда,4.5,263,2,ООО «Жданова Ефремова»,1,0
Умные часы Samsung Galaxy Watch 6,Samsung,2025-03-06,14,33640,,,444,Челябинск,Электроника,4.4,452,3,"РАО «Котова, Зайцев и Владимирова»",0,0
Планшет Samsung Galaxy Tab S9 Ultra,Samsung,2025-03-18,12,101739,,,315,Санкт-Петербург,Электроника,4.5,665,1,АО «Никифорова-Дементьева»,0,0
"Комикс ""Человек-паук: Последняя охота Крэйвена""",Marvel,2025-03-24,15,1115,,,462,Казань,Книги,4.7,579,5,РАО «Гришин Родионов»,0,0
"Роман ""1984"" Дж. Оруэлл",АСТ,2025-03-26,26,670,,,145,Санкт-Петербург,Книги,5.0,248,3,"АО «Захаров, Меркушева и Наумова»",0,0
"Роман ""Преступление и наказание"" Ф. Достоевский",Азбука,2025-03-03,4,589,,,7,Уфа,Книги,4.8,294,2,"ЗАО «Комиссарова, Комаров и Турова»",0,0
"Роман ""Преступление и наказание"" Ф. Достоевский",Азбука,2025-03-08,34,750,,,344,Санкт-Петербург,Книги,4.5,676,2,Силин Инкорпорэйтед,1,1
Джинсы Wrangler Arizona,Wrangler,2025-03-20,19,6150,,,131,Екатеринбург,Одежда,4.5,671,2,ИП «Соколова»,0,0
"Учебник ""Высшая математика"" В. Шипачев",Юрайт,2025-03-29,21,1109,,,198,Москва,Книги,4.2,292,2,"ОАО «Моисеева, Тихонов и Зуева»",1,0
Футболка H&M premium,H&M,2025-03-15,29,1380,,,130,Санкт-Петербург,Одежда,4.0,534,7,ЗАО «Терентьев Михеева»,1,0
Ноутбук Lenovo Legion Pro 7,Lenovo,2025-03-21,11,143190,,,150,Новосибирск,Электроника,4.8,376,5,ЗАО «Бирюков»,0,0
Микроволновка Samsung MG30T5018,Samsung,2025-03-15,8,13475,,,429,Уфа,Бытовая техника,4.4,581,2,ОАО «Николаев-Николаев»,1,0
Джинсы Wrangler Arizona,Wrangler,2025-03-23,7,6349,,,406,Уфа,Одежда,4.8,562,2,"АО «Шубина, Егорова и Лобанова»",1,0
Планшет Samsung Galaxy Tab S9 Ultra,Samsung,2025-03-11,11,61100,87300,30,421,Ростов-на-Дону,Электроника,4.9,444,2,Inventive Retail Group,0,0
Кроссовки Puma RS-X,Puma,2025-03-05,24,8250,,,152,Москва,Одежда,4.3,514,3,"АО «Борисова, Фролова и Князева»",0,0
Смартфон Xiaomi 14 Pro,Xiaomi,2025-03-18,13,51465,66850,23,470,Самара,Электроника,4.8,249,2,ЗАО «Матвеев»,0,0
Стиральная машина Bosch Serie 6 WLN,Bosch,2025-03-12,4,48870,,,266,Ростов-на-Дону,Бытовая техника,5.0,702,1,Мособлгаз,0,0
Кроссовки Nike Air Max 270,Nike,2025-03-24,11,10329,12155,15,480,Санкт-Петербург,Одежда,5.0,468,5,РАО «Медведева-Назаров»,0,0
Холодильник Samsung Family Hub RF65,Samsung,2025-03-15,20,75650,145499,48,331,Самара,Бытовая техника,4.9,668,3,НПО «Кошелева-Васильева»,1,0
"Учебник ""Python для начинающих""",ДМК Пресс,2025-03-03,19,1199,,,464,Новосибирск,Книги,4.5,514,2,ОАО «Беляев Шилова»,0,0
"Роман ""Преступление и наказание"" Ф. Достоевский",Азбука,2025-03-16,11,520,,,226,Новосибирск,Книги,4.6,556,7,ООО «Кулагин Белозерова»,1,0
"Детская книга ""Гарри Поттер"" Дж. Роулинг",Махаон,2025-03-02,17,900,,,284,Самара,Книги,5.0,365,2,ИП «Костин»,1,0
Умные часы Samsung Galaxy Watch 6,Samsung,2025-03-19,12,28860,,,225,Ростов-на-Дону,Электроника,4.5,519,3,Хохлова Инкорпорэйтед,0,0
Микроволновка LG NeoChef MH6336,LG,2025-03-11,14,11310,,,240,Казань,Бытовая техника,4.6,310,1,РАО «Федосеева Гусев»,0,0
"Комикс ""Ходячие мертвецы. Том 1""",Image,2025-03-15,31,1080,,,509,Санкт-Петербург,Книги,4.5,468,3,Ермакова Лтд,1,0
Футболка H&M premium,H&M,2025-03-01,9,1270,1545,17,403,Новосибирск,Одежда,4.2,475,5,Цветкова Инкорпорэйтед,1,0
Пылесос Samsung Jet 90 Complete,Samsung,2025-03-16,31,34969,,,110,Москва,Бытовая техника,4.9,308,2,Капустин Инкорпорэйтед,1,0
Наушники Sony WH-1000XM5,Sony,2025-03-22,29,34050,,,302,Екатеринбург,Электроника,5.0,360,3,ООО «Потапов Голубева»,1,0
"Детская книга ""Маленький принц"" А. де Сент-Экзюпери",Эксмо,2025-03-03,21,400,,,102,Санкт-Петербург,Книги,5.0,675,3,ОАО «Ефимов Галкина»,0,0
Холодильник Samsung Family Hub RF65,Samsung,2025-03-05,6,110540,,,300,Уфа,Бытовая техника,4.5,393,5,РАО «Меркушев Морозов»,0,0
Умные часы Samsung Galaxy Watch 6,Samsung,2025-03-21,15,27100,,,37,Казань,Электроника,4.5,235,2,ИП «Васильева Лапина»,0,0
Холодильник LG DoorCooling+ GC-B569,LG,2025-03-16,20,87280,,,259,Казань,Бытовая техника,4.7,321,2,РАО «Лапин»,1,0
Джинсы Wrangler Arizona,Wrangler,2025-03-08,26,6829,,,517,Самара,Одежда,4.4,510,3,Одинцова Инк,1,1
"Роман ""Мастер и Маргарита"" М. Булгаков",Эксмо,2025-03-04,15,660,,,296,Москва,Книги,5.0,456,5,АО «Никифоров Евсеев»,0,0
Наушники JBL Tour Pro 2,JBL,2025-03-07,14,20985,,,151,Новосибирск,Электроника,4.3,348,3,ОАО «Колесникова Стрелкова»,0,0
Пылесос Samsung Jet 90 Complete,Samsung,2025-03-05,31,24485,43725,44,65,Москва,Бытовая техника,4.7,335,5,ООО «Рожкова»,0,0
Пылесос Dyson V15 Detect Absolute,Dyson,2025-03-19,8,58765,,,368,Нижний Новгород,Бытовая техника,4.7,722,2,ЗАО «Хохлова-Дроздова»,0,0
Футболка Zara базовая хлопковая,Zara,2025-03-03,19,2040,,,19,Москва,Одежда,4.0,453,1,Media Direction Group,0,0
Пылесос Dyson V15 Detect Absolute,Dyson,2025-03-25,28,56150,,,197,Санкт-Петербург,Бытовая техника,4.9,617,1,Дроздова Групп,0,0
Наушники Samsung Galaxy Buds2 Pro,Samsung,2025-03-13,19,16200,,,61,Москва,Электроника,4.8,399,5,НПО «Сорокина Комиссаров»,0,0
Пылесос Samsung Jet 90 Complete,Samsung,2025-03-01,13,40630,,,105,Уфа,Бытовая техника,4.5,297,3,Группа Рольф,1,0
Наушники Sony WH-1000XM5,Sony,2025-03-14,9,36560,,,446,Нижний Новгород,Электроника,4.7,635,2,ОАО «Шашков»,0,0
Джинсы Levi's 501 Original,Levi's,2025-03-18,20,7629,,,356,Санкт-Петербург,Одежда,4.7,693,7,НПО «Константинова Фадеева»,0,0
"Комикс ""Бэтмен: Убийственная шутка""",DC,2025-03-25,29,1160,,,217,Москва,Книги,5.0,519,3,АО «Родионова-Осипов»,0,0
"Учебник ""Высшая математика"" В. Шипачев",Юрайт,2025-03-27,7,1175,,,296,Екатеринбург,Книги,4.5,243,7,Григорьева Инк,0,0
"Учебник ""Экономика"" Н. Грегори Мэнкью",Питер,2025-03-17,13,1415,,,435,Санкт-Петербург,Книги,4.6,598,3,ИП «Исакова-Федотов»,0,0
Смартфон Samsung Galaxy S23 Ultra,Samsung,2025-03-07,15,73259,,,196,Самара,Электроника,4.9,267,2,ОАО «Коновалов»,0,0
Кофемашина Philips Series 5400,Philips,2025-03-11,13,49340,,,494,Самара,Бытовая техника,4.4,498,7,ЗАО «Громов Савельева»,0,0
Пылесос Dyson V15 Detect Absolute,Dyson,2025-03-18,12,58620,,,184,Екатеринбург,Бытовая техника,5.0,713,1,"НПО «Белов, Аксенов и Попова»",0,0
Куртка Columbia Watertight II,Columbia,2025-03-08,51,9590,,,130,Казань,Одежда,4.5,625,1,Крок инкорпорейтед,1,1
Смартфон Xiaomi 14 Pro,Xiaomi,2025-03-29,23,67870,,,271,Новосибирск,Электроника,4.3,622,5,НПО «Казакова»,1,0
Планшет Huawei MatePad Pro,Huawei,2025-03-27,8,32695,56380,42,400,Нижний Новгород,Электроника,4.2,299,2,ФГ Будущее,0,0
Микроволновка Panasonic NN-GT261,Panasonic,2025-03-04,14,9505,,,399,Казань,Бытовая техника,4.4,426,3,ИП «Быкова Тарасова»,0,0
Стиральная машина LG AI DD F4V5,LG,2025-03-15,21,49240,,,384,Нижний Новгород,Бытовая техника,4.6,378,2,РАО «Шестакова Блохина»,1,0
Холодильник Bosch Serie 6 VitaFresh Plus,Bosch,2025-03-22,34,102045,,,222,Санкт-Петербург,Бытовая техника,4.4,641,3,Северный ветер,1,0
Микроволновка LG NeoChef MH6336,LG,2025-03-12,14,14880,,,473,Нижний Новгород,Бытовая техника,4.6,238,7,"ООО «Колобова, Молчанов и Павлов»",0,0
Платье ASOS Design миди,ASOS,2025-03-05,10,2935,3925,25,430,Самара,Одежда,4.7,463,7,АО «Белозеров Маркова»,0,0
"Детская книга ""Маленький принц"" А. де Сент-Экзюпери",Эксмо,2025-03-15,15,459,,,127,Новосибирск,Книги,4.6,395,1,Красильников Инк,1,0
Микроволновка LG NeoChef MH6336,LG,2025-03-06,25,11970,,,398,Санкт-Петербург,Бытовая техника,4.4,330,2,Эйч Энд Эм (H&M),0,0
Кофемашина De'Longhi Magnifica S,De'Longhi,2025-03-14,7,46775,,,94,Самара,Бытовая техника,4.9,283,3,Блохина Инк,0,0
Микроволновка Panasonic NN-GT261,Panasonic,2025-03-21,11,10970,,,442,Санкт-Петербург,Бытовая техника,4.6,623,3,АО «Кононов»,0,0
"Учебник ""Высшая математика"" В. Шипачев",Юрайт,2025-03-13,15,1260,,,495,Екатеринбург,Книги,4.6,443,3,ООО «Максимова Исаева»,0,0
"Детская книга ""Маленький принц"" А. де Сент-Экзюпери",Эксмо,2025-03-26,7,530,,,123,Казань,Книги,4.7,405,2,Лапина и партнеры,0,0
Кроссовки Nike Air Max 270,Nike,2025-03-18,7,13569,,,423,Ростов-на-Дону,Одежда,4.5,623,2,ИП «Миронов Веселова»,0,0
"Роман ""Мастер и Маргарита"" М. Булгаков",Эксмо,2025-03-23,19,430,640,32,491,Нижний Новгород,Книги,4.7,725,3,ООО «Тарасов Пономарев»,1,0
Платье ASOS Design миди,ASOS,2025-03-06,11,4550,,,497,Ростов-на-Дону,Одежда,4.2,315,5,ОАО «Исакова»,0,0
Умные часы Apple Watch Series 9,Apple,2025-03-18,7,36239,,,430,Челябинск,Электроника,5.0,408,3,ООО «Муравьев-Мясникова»,0,0
"Детская книга ""Маленький принц"" А. де Сент-Экзюпери",Эксмо,2025-03-01,11,455,,,22,Екатеринбург,Книги,4.5,543,2,"ОАО «Орлов, Шилов и Белозеров»",1,0
Кроссовки Puma RS-X,Puma,2025-03-07,20,6570,7915,17,303,Санкт-Петербург,Одежда,4.4,521,1,АО «Орехов-Щербакова»,0,0
Футболка Zara базовая хлопковая,Zara,2025-03-16,26,1035,1855,44,389,Москва,Одежда,4.6,375,2,ИП «Коновалов Самойлова»,1,0
Планшет Apple iPad Pro 12.9,Apple,2025-03-15,27,116715,,,66,Новосибирск,Электроника,4.9,454,2,"ООО «Самойлов, Мухина и Макаров»",1,0
Платье Mango вечернее,Mango,2025-03-17,7,6300,,,360,Уфа,Одежда,4.5,610,2,ИП «Щукин-Куликов»,0,0
Кроссовки Puma RS-X,Puma,2025-03-08,28,8185,,,256,Нижний Новгород,Одежда,4.6,621,5,РАО «Крылова-Устинова»,1,1
Куртка The North Face Resolve 2,The North Face,2025-03-07,30,12159,,,439,Москва,Одежда,4.8,288,3,РАО «Лобанов»,0,0
Кроссовки Puma RS-X,Puma,2025-03-20,11,7960,,,495,Ростов-на-Дону,Одежда,4.4,663,5,ИП «Александрова Терентьева»,0,0
"Комикс ""Бэтмен: Убийственная шутка""",DC,2025-03-30,18,1029,,,46,Самара,Книги,4.9,594,2,Меркушева Инк,1,0
Ноутбук MSI Stealth 16,MSI,2025-03-13,17,149040,,,284,Екатеринбург,Электроника,4.7,506,5,"НПО «Федосеева, Рябова и Данилова»",0,0
Футболка H&M premium,H&M,2025-03-12,7,955,1250,23,301,Ростов-на-Дону,Одежда,4.2,523,3,РАО «Гришина-Кудряшов»,0,0
Микроволновка LG NeoChef MH6336,LG,2025-03-07,15,9290,12720,27,240,Казань,Бытовая техника,4.6,272,3,НПО «Кабанов-Константинов»,0,0
Джинсы Lee Rider,Lee,2025-03-23,13,8619,,,402,Челябинск,Одежда,4.8,511,1,ОАО «Дмитриева Лапин»,1,0
"Комикс ""Бэтмен: Убийственная шутка""",DC,2025-03-23,27,1299,,,240,Екатеринбург,Книги,5.0,611,1,НПО «Мясникова-Доронина»,1,0
Планшет Apple iPad Pro 12.9,Apple,2025-03-09,26,105295,,,167,Санкт-Петербург,Электроника,5.0,462,5,ООО «Щербаков-Шарова»,1,0
"Комикс ""Человек-паук: Последняя охота Крэйвена""",Marvel,2025-03-23,32,880,1090,19,190,Новосибирск,Книги,4.9,316,3,РАО «Кулакова Матвеева»,1,0
"Комикс ""Человек-паук: Последняя охота Крэйвена""",Marvel,2025-03-17,11,1040,,,376,Челябинск,Книги,5.0,332,2,Панов Лтд,0,0
Смартфон Realme GT Neo 5,Realme,2025-03-15,24,29019,,,344,Москва,Электроника,4.1,319,3,"ООО «Дроздова, Кононов и Суханов»",1,0
Планшет Apple iPad Pro 12.9,Apple,2025-03-18,7,60630,102755,41,81,Челябинск,Электроника,4.5,575,3,НПО «Карпов-Кошелев»,0,0
"Комикс ""Человек-паук: Последняя охота Крэйвена""",Marvel,2025-03-17,14,860,,,419,Новосибирск,Книги,4.7,625,2,Крюков и партнеры,0,0
Микроволновка Panasonic NN-GT261,Panasonic,2025-03-28,22,9110,,,102,Москва,Бытовая техника,4.3,336,2,ООО «Петров Емельянов»,0,0
Наушники Sony WH-1000XM5,Sony,2025-03-05,12,27600,30669,10,170,Уфа,Электроника,5.0,536,1,ЗАО «Крылова-Дмитриева»,0,0
Планшет Huawei MatePad Pro,Huawei,2025-03-17,8,55770,,,333,Челябинск,Электроника,4.5,381,1,"ООО «Колесников, Сергеев и Чернов»",0,0
Кроссовки Adidas Ultraboost,Adidas,2025-03-30,30,14159,,,263,Екатеринбург,Одежда,4.6,660,3,"ЗАО «Якушева, Беспалова и Бобылев»",1,0
Смартфон Samsung Galaxy S23 Ultra,Samsung,2025-03-27,6,71595,,,166,Уфа,Электроника,4.5,581,7,ОАО «Ширяева Терентьев»,0,0
Кофемашина De'Longhi Magnifica S,De'Longhi,2025-03-03,25,49180,,,47,Москва,Бытовая техника,4.7,706,3,"НПО «Гришин, Савина и Орехова»",0,0
Платье ASOS Design миди,ASOS,2025-03-23,32,3360,,,134,Москва,Одежда,4.2,325,3,НПО «Кузнецова-Молчанова»,1,0
Футболка Zara базовая хлопковая,Zara,2025-03-01,7,1925,,,33,Ростов-на-Дону,Одежда,4.4,467,5,Группа компаний ПИК,1,0
Пылесос Xiaomi Mi Robot Vacuum-Mop 2 Pro,Xiaomi,2025-03-21,17,21100,,,394,Москва,Бытовая техника,4.4,646,3,РАО «Костина»,0,0
Платье Zara с принтом,Zara,2025-03-18,14,5510,,,339,Нижний Новгород,Одежда,4.3,453,3,АО «Орехова-Тарасов»,0,0
"Комикс ""Человек-паук: Последняя охота Крэйвена""",Marvel,2025-03-21,8,1115,,,173,Новосибирск,Книги,4.9,412,7,ЗАО «Журавлев»,0,0
Куртка Columbia Watertight II,Columbia,2025-03-25,16,6655,9800,32,86,Москва,Одежда,4.7,360,1,"ООО «Исаева, Фокин и Григорьев»",0,0
"Учебник ""Python для начинающих""",ДМК Пресс,2025-03-31,6,849,1230,31,479,Уфа,Книги,4.9,286,2,"ЗАО «Аксенова, Филиппов и Авдеева»",0,0
"Комикс ""Человек-паук: Последняя охота Крэйвена""",Marvel,2025-03-13,9,1190,,,421,Нижний Новгород,Книги,4.9,386,5,НПО «Маслов Голубева»,0,0
Куртка Adidas Outdoor Terrex,Adidas,2025-03-18,10,9255,13825,33,425,Уфа,Одежда,4.5,328,7,Доронина Лимитед,0,0
"Роман ""1984"" Дж. Оруэлл",АСТ,2025-03-13,11,519,,,476,Санкт-Петербург,Книги,4.6,332,2,Александрова Лимитед,0,0
Микроволновка Samsung MG30T5018,Samsung,2025-03-31,17,16085,,,108,Москва,Бытовая техника,4.6,619,1,Ростелеком,0,0
Наушники Samsung Galaxy Buds2 Pro,Samsung,2025-03-19,8,16345,,,85,Нижний Новгород,Электроника,4.6,426,5,Чернов Групп,0,0
"Детская книга ""Гарри Поттер"" Дж. Роулинг",Махаон,2025-03-18,14,875,,,214,Казань,Книги,4.6,273,3,ИП «Гуляева»,0,0
Джинсы Lee Rider,Lee,2025-03-12,11,3759,7510,50,452,Казань,Одежда,4.3,500,2,Носов Инкорпорэйтед,0,0
Пылесос Dyson V15 Detect Absolute,Dyson,2025-03-20,11,53740,,,328,Казань,Бытовая техника,4.9,358,3,ИП «Дмитриева Лаврентьев»,0,0
Смартфон Realme GT Neo 5,Realme,2025-03-18,6,18400,31200,41,408,Уфа,Электроника,4.3,552,5,Метафракс,0,0
Умные часы Samsung Galaxy Watch 6,Samsung,2025-03-15,31,33820,,,516,Санкт-Петербург,Электроника,4.8,599,2,ЗАО «Быков»,1,0
"Учебник ""Python для начинающих""",ДМК Пресс,2025-03-28,12,1185,,,126,Челябинск,Книги,4.5,257,2,НПО «Никонов-Галкин»,0,0
Смартфон Honor 90,Honor,2025-03-13,12,28965,36669,21,17,Ростов-на-Дону,Электроника,4.3,378,3,Тетра Пак (Tetra Pak),0,0
"Роман ""Преступление и наказание"" Ф. Достоевский",Азбука,2025-03-26,14,545,599,8,132,Челябинск,Книги,4.9,301,1,ЗАО «Герасимова Игнатова»,0,0
Ноутбук Apple MacBook Pro 16,Apple,2025-03-11,20,170139,,,257,Москва,Электроника,4.8,396,1,ЗАО «Кудряшова»,0,0
Микроволновка LG NeoChef MH6336,LG,2025-03-19,13,10105,10870,7,322,Самара,Бытовая техника,4.4,626,2,ЗАО «Шарапова Сысоев»,0,0
Смартфон Samsung Galaxy S23 Ultra,Samsung,2025-03-28,16,86710,,,116,Нижний Новгород,Электроника,4.7,275,5,ЗАО «Захарова Макарова»,0,0
